Probe	Chr	StartPos	STRName	Strand	ProbeList	Match?
1	1	3584977	trf2094	M	minus	Match
2	1	3585231	trf2094	P	plus	Match
3	1	7142334	trf3766	M	minus	Match
4	1	7142594	trf3766	P	plus	Match
5	1	7142612	trf3766	P	plus	Match
6	1	7442722	D1GATA113	M	minus	Match
7	1	7442984	D1GATA113	P	plus	Match
8	1	10987413	trf5611	M	minus	Match
9	1	10987673	trf5611	P	plus	Match
10	1	14108582	PRDM2	M	minus	Match
11	1	14108842	PRDM2	P	plus	Match
12	1	16540042	trf7660	M	minus	Match
13	1	16540304	trf7660	P	plus	Match
14	1	20911896	trf9268	M	minus	Match
15	1	20912174	trf9268	P	plus	Match
16	1	23239824	EPHB2	M	minus	Match
17	1	23240059	EPHB2	P	plus	Match
18	1	24078260	TCEB3	M	minus	Match
19	1	24078513	TCEB3	P	plus	Match
152	1	27620957	WDTC1	M	minus	Match
153	1	27621212	WDTC1	P	plus	Match
154	1	30310850	trf13275	M	minus	Match
155	1	30311108	trf13275	P	plus	Match
156	1	32826277	trf14366	M	minus	Match
157	1	32826550	trf14366	P	plus	Match
158	1	32826582	trf14366	P	plus	Match
159	1	41726432	trf17495	M	minus	Match
160	1	41726526	trf17495	M	minus	Match
161	1	41726684	trf17495	P	plus	Match
162	1	41726786	trf17495	P	plus	Match
163	1	51639483	trf20545	M	minus	Match
164	1	51639743	trf20545	P	plus	Match
165	1	54263669	trf21498	M	minus	Match
166	1	54263934	trf21498	P	plus	Match
167	1	59730208	trf23011	M	minus	Match
168	1	59730343	trf23011	M	minus	Match
169	1	59730468	trf23011	P	plus	Match
170	1	59730603	trf23011	P	plus	Match
171	1	64304877	trf24353	M	minus	Match
172	1	64305137	trf24353	P	plus	Match
173	1	74184289	trf27031_trf27032	M	minus	Match
174	1	74184419	trf27031_trf27032	M	minus	Match
175	1	74184552	trf27031_trf27032	P	plus	Match
176	1	74184645	trf27031_trf27032	P	plus	Match
177	1	74229279	trf27044_trf27043_trf27045	M	minus	Match
178	1	74229322	trf27044_trf27043_trf27045	M	minus	Match
179	1	74229544	trf27044_trf27043_trf27045	P	plus	Match
180	1	74229600	trf27044_trf27043_trf27045	P	plus	Match
181	1	81998528	trf29092	M	minus	Match
182	1	81998767	trf29092	P	plus	Match
183	1	82895241	trf29319	M	minus	Match
184	1	82895295	trf29319	M	minus	Match
185	1	82895495	trf29319	P	plus	Match
186	1	82895556	trf29319	P	plus	Match
187	1	102358608	nc-HEJ1	M	minus	Match
188	1	102358868	nc-HEJ1	P	plus	Match
189	1	105083149	trf35118_trf35119	M	minus	Match
190	1	105083191	trf35118_trf35119	M	minus	Match
191	1	105083411	trf35118_trf35119	P	plus	Match
192	1	105083449	trf35118_trf35119	P	plus	Match
193	1	106281391	trf35518	M	minus	Match
194	1	106281500	trf35518	M	minus	Match
195	1	106281650	trf35518	P	plus	Match
196	1	106281760	trf35518	P	plus	Match
197	1	106963639	trf35734_D1S1627	M	minus	Match
198	1	106963901	trf35734_D1S1627	P	plus	Match
199	1	107075683	trf35779	M	minus	Match
200	1	107075941	trf35779	P	plus	Match
201	1	113626398	trf37628	M	minus	Match
202	1	113626726	trf37628	P	plus	Match
203	1	114740005	trf37895	M	minus	Match
204	1	114740069	trf37895	M	minus	Match
205	1	114740269	trf37895	P	plus	Match
206	1	114740329	trf37895	P	plus	Match
207	1	115537494	SYCP1	M	minus	Match
208	1	115537751	SYCP1	P	plus	Match
209	1	120053196	trf39373_BAT40	M	minus	Match
210	1	120053454	trf39373_BAT40	P	plus	Match
211	1	151318655	RFX5	M	minus	Match
212	1	151318915	RFX5	P	plus	Match
213	1	156836586	NTRK1	M	minus	Match
214	1	156836844	NTRK1	P	plus	Match
215	1	157932678	trf44978	M	minus	Match
216	1	157932938	trf44978	P	plus	Match
217	1	159032381	AIM2	M	minus	Match
218	1	159032640	AIM2	P	plus	Match
219	1	160443669	trf45586	M	minus	Match
220	1	160443927	trf45586	P	plus	Match
221	1	163559631	trf46588_D1S1677	M	minus	Match
222	1	163559682	trf46588_D1S1677	M	minus	Match
223	1	163559746	trf46588_D1S1677	M	minus	Match
224	1	163559885	trf46588_D1S1677	P	plus	Match
225	1	163559943	trf46588_D1S1677	P	plus	Match
226	1	163560009	trf46588_D1S1677	P	plus	Match
227	1	165848699	trf47191	M	minus	Match
228	1	165848956	trf47191	P	plus	Match
229	1	170067792	trf48327_trf48328	M	minus	Match
230	1	170067829	trf48327_trf48328	M	minus	Match
231	1	170068052	trf48327_trf48328	P	plus	Match
232	1	170068092	trf48327_trf48328	P	plus	Match
233	1	170068114	trf48327_trf48328	P	plus	Match
234	1	174261084	trf49462	M	minus	Match
235	1	174261321	trf49462	P	plus	Match
236	1	188993635	trf53570	M	minus	Match
237	1	188993636	trf53570	M	minus	Match
238	1	188993895	trf53570	P	plus	Match
