Probe	Chr	StartPos	STRName	Strand
1	1	1036862	trf458_trf459	M
2	1	1037093	trf458_trf459	P
3	1	1585214	trf892	M
4	1	1585491	trf892	P
5	1	1840421	trf1009_trf1010	M
6	1	1840819	trf1009_trf1010	P
7	1	2837682	trf1591	M
8	1	2837929	trf1591	P
9	1	4480229	trf2469	M
10	1	4480493	trf2469	P
11	1	4731470	trf2596	M
12	1	4731730	trf2596	P
13	1	4731733	trf2596	P
14	1	5488728	trf2934	M
15	1	5488742	trf2934	M
16	1	5488984	trf2934	P
17	1	5489051	trf2934	P
18	1	7442722	D1GATA113	M
19	1	7442984	D1GATA113	P
20	1	8067404	trf4220	M
21	1	8067694	trf4220	P
22	1	14108582	PRDM2	M
23	1	14108842	PRDM2	P
24	1	14262324	trf6845	M
25	1	14262611	trf6845	P
26	1	14464395	trf6913	M
27	1	14464655	trf6913	P
28	1	15353460	trf7170	M
29	1	15353796	trf7170	P
30	1	17649669	trf8054	M
31	1	17649929	trf8054	P
32	1	18361823	trf8332	M
33	1	18362081	trf8332	P
34	1	20510610	trf9119	M
35	1	20510870	trf9119	P
36	1	21021386	trf9315	M
37	1	21021645	trf9315	P
38	1	23239824	EPHB2	M
39	1	23240059	EPHB2	P
40	1	24078260	TCEB3	M
41	1	24078513	TCEB3	P
42	1	25190603	trf11161	M
43	1	25190863	trf11161	P
44	1	31857576	trf13963	M
45	1	31857965	trf13963	P
46	1	37150418	trf15933	M
47	1	37150709	trf15933	P
48	1	37154413	trf15940	M
49	1	37154674	trf15940	P
50	1	37154681	trf15940	P
51	1	38235580	trf16297	M
52	1	38235885	trf16297	P
53	1	38454338	trf16385	M
54	1	38454600	trf16385	P
55	1	43378885	trf18050	M
56	1	43379166	trf18050	P
57	1	46256104	trf19018	M
58	1	46256382	trf19018	P
59	1	53639259	trf21296_trf21297_trf21298_trf21299	M
60	1	53639524	trf21296_trf21297_trf21298_trf21299	P
61	1	54705574	trf21631_trf21632_trf21633	M
62	1	54705834	trf21631_trf21632_trf21633	P
63	1	59116937	trf22833	M
64	1	59117203	trf22833	P
65	1	59948099	trf23067	M
66	1	59948376	trf23067	P
67	1	61792540	trf23537	M
68	1	61792802	trf23537	P
69	1	63316360	trf24054	M
70	1	63316627	trf24054	P
71	1	64311665	trf24355	M
72	1	64311924	trf24355	P
73	1	68596530	trf25500	M
74	1	68596914	trf25500	P
75	1	69056477	trf25632	M
76	1	69056734	trf25632	P
77	1	73556725	trf26854	M
78	1	73556997	trf26854	P
79	1	75213343	trf27284	M
80	1	75213650	trf27284	P
81	1	76124877	trf27489_trf27490	M
82	1	76125339	trf27489_trf27490	P
83	1	77856958	trf27916	M
84	1	77857218	trf27916	P
85	1	79792831	trf28466	M
86	1	79793101	trf28466	P
87	1	80293910	trf28608	M
88	1	80294207	trf28608	P
